"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
18,"Spotify",2,"No","No","No","Pop","Yes","Yes",169,"Sometimes","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Very frequently","Never","Sometimes","Never","Very frequently","Sometimes","Sometimes","Sometimes","Never",7,4,2,5,"Improve"
14,"Spotify",12,"Yes","Yes","Yes","Rock","Yes","Yes",136,"Sometimes","Sometimes","Rarely","Rarely","Rarely","Very frequently","Sometimes","Never","Never","Very frequently","Never","Very frequently","Very frequently","Very frequently","Very frequently","Sometimes",8,6,10,5,"Improve"
18,"YouTube Music",6,"Yes","Yes","Yes","Pop","No","Yes",101,"Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Never","Never",3,2,1,2,"Improve"
17,"Spotify",2,"Yes","Yes","No","Pop","Yes","Yes",126,"Never","Very frequently","Rarely","Rarely","Never","Never","Rarely","Sometimes","Very frequently","Rarely","Rarely","Very frequently","Rarely","Never","Sometimes","Sometimes",6,6,4,5,"Improve"
17,"Apple Music",1,"Yes","No","No","Pop","Yes","No",183,"Rarely","Never","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never",8,2,1,5,"Improve"
20,"Apple Music",5,"Yes","Yes","No","Rock","Yes","Yes",126.50046823013,"Never","Rarely","Rarely","Very frequently","Never","Very frequently","Sometimes","Never","Sometimes","Sometimes","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",7,7,2,0,"Improve"
19,"Spotify",2,"Yes","No","No","Classical","No","No",120,"Very frequently","Never","Never","Never","Never","Rarely","Rarely","Never","Never","Sometimes","Never","Very frequently","Never","Never","Never","Very frequently",4,4,4,3,"No effect"
19,"Spotify",6,"Yes","Yes","No","Metal","Yes","Yes",140.447072827687,"Never","Never","Never","Rarely","Never","Rarely","Sometimes","Rarely","Never","Sometimes","Very frequently","Sometimes","Never","Never","Sometimes","Sometimes",9,8,2,3,"Improve"
17,"Spotify",4,"No","No","No","Rock","Yes","Yes",142,"Rarely","Rarely","Rarely","Very frequently","Never","Sometimes","Rarely","Rarely","Never","Rarely","Rarely","Very frequently","Rarely","Sometimes","Very frequently","Rarely",5,6,6,1,"Improve"
16,"Spotify",1,"Yes","No","No","Classical","No","No",75,"Very frequently","Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Rarely",0,0,0,0,"No effect"
18,"Spotify",5,"Yes","Yes","No","Pop","Yes","No",120,"Sometimes","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Never",3,2,1,1,"Improve"
21,"Spotify",4,"Yes","No","No","Pop","No","Yes",89,"Never","Never","Rarely","Never","Never","Sometimes","Never","Rarely","Rarely","Never","Never","Very frequently","Never","Rarely","Never","Never",6,8,0,2,"Improve"
17,"Other streaming service",3,"Yes","No","No","Pop","Yes","No",131.662327375343,"Never","Never","Sometimes","Never","Never","Very frequently","Rarely","Sometimes","Never","Never","Rarely","Very frequently","Sometimes","Very frequently","Very frequently","Never",2,0,4,0,"No effect"
26,"Other streaming service",0.5,"No","No","No","Rock","No","Yes",140,"Rarely","Never","Rarely","Sometimes","Never","Never","Rarely","Never","Never","Never","Never","Rarely","Never","Never","Very frequently","Never",9,8,1,0,"No effect"
20,"Spotify",4,"Yes","No","No","EDM","Yes","No",161,"Rarely","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Never","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Very frequently","Rarely",7,2,8,6,"Improve"
23,"YouTube Music",2,"Yes","Yes","Yes","Video game music","Yes","No",80,"Sometimes","Rarely","Never","Rarely","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Very frequently",4,2,3,4,"Improve"
18,"Spotify",5,"Yes","Yes","No","Rock","Yes","No",130,"Very frequently","Never","Never","Sometimes","Never","Sometimes","Sometimes","Rarely","Never","Sometimes","Very frequently","Sometimes","Rarely","Sometimes","Very frequently","Sometimes",7,6,5,0,"Improve"
37,"YouTube Music",0.25,"No","No","No","Video game music","Yes","No",147,"Very frequently","Rarely","Never","Rarely","Never","Rarely","Sometimes","Never","Rarely","Never","Never","Very frequently","Sometimes","Never","Sometimes","Sometimes",3,2,10,0,"No effect"
17,"Spotify",3,"Yes","No","No","Classical","Yes","Yes",120,"Very frequently","Never","Very frequently","Never","Never","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Never","Sometimes","Very frequently","Very frequently","Rarely","Sometimes",6,6,8,2,"Improve"
18,"Spotify",4,"Yes","No","No","Metal","Yes","Yes",77,"Rarely","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Never","Very frequently","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently",1,0,8,2,"No effect"
17,"I do not use a streaming service.",1,"Yes","Yes","Yes","Folk","No","No",118,"Never","Sometimes","Rarely","Very frequently","Never","Rarely","Never","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes",7,3,1,5,"Improve"
36,"Spotify",1,"No","Yes","Yes","Classical","No","No",132,"Very frequently","Sometimes","Never","Rarely","Never","Never","Never","Never","Never","Never","Sometimes","Rarely","Never","Never","Sometimes","Never",8,9,3,0,"No effect"
24,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",115,"Rarely","Never","Rarely","Sometimes","Never","Never","Never","Rarely","Never","Very frequently","Rarely","Sometimes","Never","Never","Very frequently","Sometimes",9,6,4,3,"Improve"
18,"Spotify",5,"Yes","No","Yes","Metal","Yes","Yes",157,"Never","Never","Rarely","Rarely","Never","Very frequently","Rarely","Never","Rarely","Rarely","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Never",7,9,5,0,"Improve"
19,"Spotify",3,"Yes","No","No","Pop","No","Yes",90,"Sometimes","Rarely","Sometimes","Never","Never","Very frequently","Sometimes","Rarely","Never","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Sometimes",7,4,2,4,"No effect"
17,"Apple Music",2,"Yes","Yes","No","EDM","Yes","No",128,"Never","Rarely","Very frequently","Never","Never","Rarely","Never","Never","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",0,0,0,0,"Improve"
16,"Spotify",6,"Yes","No","No","K pop","Yes","Yes",169,"Rarely","Never","Never","Rarely","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Never","Sometimes","Very frequently","Very frequently","Rarely","Never",7,8,7,5,"Improve"
23,"Apple Music",1,"No","No","No","Rap","No","Yes",140,"Sometimes","Rarely","Sometimes","Rarely","Never","Very frequently","Very frequently","Never","Never","Never","Sometimes","Rarely","Rarely","Very frequently","Very frequently","Rarely",10,6,3,10,"No effect"
23,"Spotify",12,"Yes","No","No","Pop","Yes","Yes",96,"Very frequently","Rarely","Never","Very frequently","Never","Rarely","Sometimes","Rarely","Rarely","Rarely","Never","Very frequently","Sometimes","Rarely","Rarely","Never",3,7,5,5,"No effect"
22,"Spotify",4,"Yes","No","Yes","Rock","Yes","Yes",126,"Rarely","Never","Rarely","Sometimes","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Rarely",8,7,4,3,"Improve"
16,"Apple Music",2,"Yes","Yes","No","Classical","Yes","No",120.117571559708,"Very frequently","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Never","Never","Rarely","Rarely","Rarely","Sometimes","Rarely",0,0,1,3,"Improve"
18,"Spotify",6,"Yes","No","No","Rock","Yes","No",91,"Rarely","Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Sometimes","Very frequently","Never",8,6,2,10,"No effect"
23,"Spotify",7,"Yes","No","No","Folk","Yes","Yes",55,"Rarely","Very frequently","Never","Very frequently","Very frequently","Sometimes","Rarely","Never","Rarely","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes",6,4,2,3,"Improve"
23,"I do not use a streaming service.",1,"Yes","Yes","No","Video game music","No","No",85,"Sometimes","Sometimes","Sometimes","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Very frequently","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently",7,0,0,2,"Improve"
19,"YouTube Music",1,"No","Yes","No","K pop","Yes","Yes",160,"Never","Never","Never","Never","Never","Never","Sometimes","Very frequently","Never","Never","Never","Never","Never","Never","Never","Rarely",10,1,0,0,"Improve"
22,"Pandora",1,"No","Yes","No","Rock","Yes","No",108,"Rarely","Never","Sometimes","Rarely","Never","Never","Very frequently","Never","Never","Never","Never","Sometimes","Rarely","Never","Very frequently","Rarely",8,7,0,5,"Improve"
15,"Other streaming service",2,"Yes","Yes","No","Rock","No","No",156,"Never","Never","Rarely","Rarely","Never","Never","Never","Never","Never","Rarely","Sometimes","Sometimes","Never","Never","Very frequently","Sometimes",3,2,6,7,"Improve"
25,"Spotify",2,"No","No","No","Metal","No","Yes",170,"Rarely","Rarely","Rarely","Sometimes","Never","Rarely","Never","Rarely","Never","Rarely","Very frequently","Sometimes","Never","Rarely","Very frequently","Very frequently",5,5,3,1,"No effect"
32,"Spotify",5,"Yes","No","No","Rock","No","Yes",91,"Sometimes","Never","Rarely","Sometimes","Never","Sometimes","Rarely","Rarely","Never","Never","Very frequently","Very frequently","Very frequently","Rarely","Very frequently","Never",10,10,3,1,"Worsen"
36,"Spotify",6,"Yes","No","No","Metal","Yes","Yes",174,"Very frequently","Never","Rarely","Very frequently","Never","Never","Never","Sometimes","Never","Rarely","Very frequently","Rarely","Never","Never","Sometimes","Very frequently",5,4,10,2,"Improve"
24,"Spotify",3,"No","No","No","Rock","Yes","Yes",130,"Sometimes","Sometimes","Never","Rarely","Never","Never","Rarely","Never","Rarely","Never","Very frequently","Very frequently","Never","Never","Very frequently","Never",0,0,8,0,"No effect"
29,"Spotify",4,"No","No","No","Hip hop","Yes","No",140,"Rarely","Sometimes","Rarely","Never","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never",8,8,5,10,"Improve"
41,"Apple Music",3,"Yes","Yes","Yes","Metal","Yes","Yes",130,"Sometimes","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Never",10,7,8,0,"Improve"
36,"I do not use a streaming service.",2,"Yes","Yes","Yes","Rock","Yes","No",127,"Sometimes","Rarely","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Never","Never","Never","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",7,3,1,1,"Improve"
19,"YouTube Music",3,"Yes","No","No","Rock","Yes","No",160,"Rarely","Sometimes","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently","Rarely",8,7,4,0,"Improve"
31,"Spotify",2,"Yes","No","No","Rock","Yes","Yes",123.207313942055,"Never","Sometimes","Never","Rarely","Sometimes","Never","Sometimes","Rarely","Never","Never","Sometimes","Very frequently","Never","Never","Very frequently","Never",10,2,0,5,"No effect"
16,"Spotify",4,"Yes","No","No","Rock","No","Yes",132.944416595217,"Sometimes","Rarely","Rarely","Sometimes","Never","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Rarely","Rarely","Very frequently","Very frequently",9,8,1,2,"Improve"
26,"Spotify",2,"Yes","Yes","Yes","Hip hop","Yes","Yes",165,"Rarely","Rarely","Very frequently","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Very frequently","Very frequently","Rarely",6,3,1,1,"Improve"
22,"Apple Music",0.5,"No","No","No","Hip hop","No","No",113,"Sometimes","Never","Never","Never","Never","Very frequently","Rarely","Never","Rarely","Never","Never","Sometimes","Sometimes","Very frequently","Never","Never",7,7,0,1,"No effect"
16,"Spotify",5,"Yes","Yes","Yes","Jazz","Yes","Yes",167,"Sometimes","Rarely","Never","Never","Rarely","Rarely","Very frequently","Very frequently","Rarely","Never","Never","Very frequently","Rarely","Very frequently","Sometimes","Never",7,7,8,4,"Improve"
17,"Spotify",5,"Yes","No","No","Metal","Yes","Yes",95,"Never","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Very frequently","Sometimes",4,1,0,0,"Improve"
19,"Spotify",10,"Yes","No","No","R&B","Yes","Yes",110,"Never","Rarely","Very frequently","Never","Never","Sometimes","Never","Very frequently","Never","Never","Never","Rarely","Very frequently","Rarely","Never","Never",7,2,1,5,"Improve"
18,"YouTube Music",2,"No","No","No","EDM","No","Yes",150,"Sometimes","Rarely","Very frequently","Never","Rarely","Rarely","Rarely","Never","Never","Sometimes","Never","Very frequently","Rarely","Sometimes","Rarely","Very frequently",9,0,5,10,"Improve"
18,"YouTube Music",4,"Yes","No","No","Hip hop","Yes","Yes",93,"Never","Never","Rarely","Never","Never","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Never","Very frequently","Very frequently","Very frequently","Sometimes","Rarely",2,7,1,1,"Improve"
19,"Spotify",5,"No","Yes","Yes","Rock","Yes","Yes",90,"Rarely","Never","Never","Rarely","Never","Sometimes","Very frequently","Never","Very frequently","Rarely","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Rarely",10,8,7,0,"Improve"
19,"Spotify",3,"Yes","No","No","Jazz","Yes","No",118,"Rarely","Never","Rarely","Never","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Never","Sometimes","Sometimes","Sometimes","Rarely","Very frequently",3,0,0,0,"Improve"
22,"Spotify",2,"Yes","No","No","K pop","Yes","Yes",126,"Never","Never","Very frequently","Never","Never","Sometimes","Never","Very frequently","Never","Never","Never","Sometimes","Never","Sometimes","Very frequently","Rarely",7,8,5,1,"No effect"
16,"Spotify",2.5,"Yes","Yes","Yes","Rock","Yes","Yes",103,"Rarely","Sometimes","Never","Very frequently","Never","Rarely","Sometimes","Never","Sometimes","Sometimes","Rarely","Very frequently","Rarely","Never","Very frequently","Rarely",2,1,0,0,"Improve"
19,"Spotify",3,"Yes","No","No","R&B","Yes","Yes",77,"Rarely","Never","Sometimes","Never","Never","Very frequently","Rarely","Very frequently","Rarely","Rarely","Rarely","Very frequently","Very frequently","Very frequently","Rarely","Very frequently",5,4,0,1,"Improve"
37,"Spotify",1,"Yes","No","No","Rock","No","No",115,"Rarely","Rarely","Rarely","Rarely","Never","Rarely","Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Rarely","Rarely","Very frequently","Never",9,10,6,10,"No effect"
14,"Spotify",7,"Yes","Yes","No","Jazz","No","No",110,"Rarely","Never","Very frequently","Never","Never","Never","Very frequently","Never","Sometimes","Never","Never","Sometimes","Never","Never","Very frequently","Very frequently",2,0,0,0,"Improve"
33,"I do not use a streaming service.",1,"No","No","No","Metal","No","Yes",143.985058571627,"Rarely","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Rarely","Never","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Sometimes",5,2,5,1,"Improve"
26,"Spotify",1,"No","No","No","R&B","No","No",113,"Rarely","Sometimes","Never","Sometimes","Never","Very frequently","Very frequently","Never","Never","Never","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Never",3,2,0,0,"No effect"
32,"Spotify",3,"Yes","No","No","Hip hop","No","No",157,"Never","Never","Rarely","Never","Never","Very frequently","Never","Never","Sometimes","Rarely","Never","Sometimes","Very frequently","Very frequently","Rarely","Never",2,0,7,0,"No effect"
30,"Spotify",5,"Yes","Yes","No","Metal","Yes","No",160,"Sometimes","Rarely","Never","Sometimes","Never","Rarely","Never","Never","Never","Never","Very frequently","Sometimes","Never","Never","Very frequently","Never",7,6,6,2,"No effect"
43,"I do not use a streaming service.",6,"Yes","Yes","Yes","Video game music","Yes","Yes",109,"Sometimes","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Very frequently","Rarely","Sometimes","Rarely","Never","Sometimes","Very frequently",5,4,8,3,"No effect"
24,"Spotify",4,"Yes","No","No","Classical","Yes","Yes",175,"Very frequently","Rarely","Rarely","Never","Never","Rarely","Rarely","Never","Never","Never","Sometimes","Very frequently","Rarely","Never","Very frequently","Rarely",4,6,5,3,"Improve"
36,"YouTube Music",1,"Yes","No","No","Rock","Yes","No",110,"Sometimes","Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Rarely","Sometimes","Rarely","Rarely","Very frequently","Never",6,2,3,1,"Improve"
19,"YouTube Music",4,"Yes","No","No","Video game music","Yes","No",162,"Rarely","Never","Rarely","Never","Never","Rarely","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Never","Rarely","Very frequently",8,2,1,6,"Improve"
22,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",189,"Rarely","Very frequently","Never","Very frequently","Never","Never","Rarely","Never","Never","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Sometimes",9,6,0,6,"Improve"
20,"Spotify",3,"No","No","Yes","EDM","Yes","Yes",121,"Rarely","Sometimes","Very frequently","Never","Never","Sometimes","Never","Rarely","Never","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Rarely",0,3,7,0,"Improve"
31,"Spotify",2,"No","No","No","Rock","Yes","No",200,"Rarely","Rarely","Never","Rarely","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Never","Rarely","Very frequently","Never",8,9,6,2,"Improve"
19,"Spotify",4,"Yes","No","No","Metal","Yes","Yes",105,"Sometimes","Never","Never","Never","Never","Sometimes","Sometimes","Rarely","Never","Never","Sometimes","Sometimes","Rarely","Sometimes","Very frequently","Rarely",4,1,1,1,"Improve"
15,"Spotify",8,"Yes","No","No","Rock","No","No",193,"Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes","Rarely","Never","Never","Very frequently","Rarely",8,7,5,0,"Improve"
18,"Spotify",2,"No","Yes","Yes","Metal","Yes","Yes",149,"Never","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Never","Very frequently","Sometimes","Never","Rarely","Very frequently","Rarely",3,4,6,1,"Improve"
25,"I do not use a streaming service.",0.5,"No","Yes","No","Classical","No","No",140,"Very frequently","Never","Never","Never","Rarely","Never","Sometimes","Never","Sometimes","Never","Rarely","Rarely","Rarely","Never","Very frequently","Sometimes",1,1,3,1,"Improve"
17,"Apple Music",5,"Yes","No","No","Metal","Yes","No",134,"Never","Rarely","Never","Never","Never","Sometimes","Never","Never","Never","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",10,8,6,7,"No effect"
28,"YouTube Music",1,"No","No","No","Rock","Yes","No",120,"Rarely","Never","Very frequently","Sometimes","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Never","Never","Sometimes","Rarely",6,6,2,0,"No effect"
20,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",170,"Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Never","Rarely","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Sometimes",6,7,0,0,"Improve"
21,"YouTube Music",2,"Yes","Yes","No","Metal","Yes","Yes",107,"Sometimes","Rarely","Never","Very frequently","Never","Never","Rarely","Never","Never","Rarely","Very frequently","Rarely","Never","Rarely","Sometimes","Very frequently",8,4,10,0,"No effect"
41,"Spotify",3,"Yes","No","No","Pop","No","Yes",113,"Sometimes","Never","Rarely","Rarely","Rarely","Very frequently","Sometimes","Rarely","Rarely","Never","Rarely","Very frequently","Very frequently","Sometimes","Very frequently","Never",9,7,6,2,"No effect"
20,"Spotify",2,"Yes","Yes","No","Pop","Yes","No",126,"Never","Never","Sometimes","Never","Never","Rarely","Never","Never","Never","Never","Never","Very frequently","Never","Rarely","Very frequently","Sometimes",7,4,6,5,"Improve"
34,"Other streaming service",4,"Yes","No","No","Metal","Yes","Yes",161,"Rarely","Never","Sometimes","Never","Never","Sometimes","Rarely","Never","Never","Never","Very frequently","Rarely","Never","Sometimes","Sometimes","Rarely",6,7,0,0,"No effect"
21,"YouTube Music",3,"Yes","No","Yes","Metal","Yes","No",127.601368261558,"Sometimes","Rarely","Never","Sometimes","Never","Never","Never","Never","Never","Never","Very frequently","Very frequently","Never","Never","Very frequently","Rarely",10,0,10,10,"Improve"
23,"Spotify",2,"Yes","No","No","Metal","Yes","Yes",100,"Rarely","Never","Never","Rarely","Never","Never","Never","Never","Never","Sometimes","Very frequently","Rarely","Never","Never","Sometimes","Rarely",6,3,0,1,"Improve"
16,"Spotify",3,"No","No","No","Pop","No","No",140,"Rarely","Never","Never","Never","Never","Sometimes","Rarely","Never","Rarely","Never","Never","Very frequently","Sometimes","Rarely","Never","Never",7,5,5,3,"Improve"
19,"YouTube Music",4,"Yes","No","No","Pop","Yes","No",156,"Rarely","Rarely","Rarely","Rarely","Never","Sometimes","Rarely","Rarely","Never","Never","Rarely","Very frequently","Rarely","Sometimes","Sometimes","Sometimes",7,10,5,0,"Improve"
22,"Spotify",2,"Yes","Yes","No","Rock","Yes","Yes",98,"Sometimes","Never","Never","Rarely","Never","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",8,6,0,0,"Improve"
